Age,EducationNum,MaritalStatus,Occupation,Relationship,Race,Gender,Hours/Week,Country,Income
25,7,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,<=50K.
38,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K.
28,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K.
44,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,>50K.
18,10,Never-married,?,Own-child,White,Female,30,United-States,<=50K.
34,6,Never-married,Other-service,Not-in-family,White,Male,30,United-States,<=50K.
29,9,Never-married,?,Unmarried,Black,Male,40,United-States,<=50K.
63,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,>50K.
24,10,Never-married,Other-service,Unmarried,White,Female,40,United-States,<=50K.
55,4,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,<=50K.
65,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K.
36,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K.
26,9,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,<=50K.
58,9,Married-civ-spouse,?,Husband,White,Male,35,United-States,<=50K.
48,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,>50K.
43,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K.
20,10,Never-married,Other-service,Own-child,White,Male,25,United-States,<=50K.
43,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,<=50K.
37,9,Widowed,Machine-op-inspct,Unmarried,White,Female,20,United-States,<=50K.
40,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,45,?,>50K.
34,13,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,>50K.
34,10,Never-married,Other-service,Own-child,Black,Female,35,United-States,<=50K.
72,4,Divorced,?,Not-in-family,White,Female,6,United-States,<=50K.
25,13,Never-married,Prof-specialty,Not-in-family,White,Male,43,Peru,<=50K.
25,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K.
45,9,Married-civ-spouse,Craft-repair,Husband,White,Male,90,United-States,>50K.
22,9,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,<=50K.
23,9,Separated,Machine-op-inspct,Unmarried,Black,Male,54,United-States,<=50K.
54,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,<=50K.
32,10,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,<=50K.
46,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,>50K.
56,7,Widowed,Other-service,Unmarried,White,Female,50,United-States,<=50K.
24,13,Never-married,Sales,Not-in-family,White,Male,50,United-States,<=50K.
23,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,<=50K.
26,9,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,<=50K.
65,9,Married-civ-spouse,?,Husband,White,Male,40,United-States,<=50K.
36,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K.
22,3,Never-married,Priv-house-serv,Not-in-family,White,Male,50,Guatemala,<=50K.
17,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K.
